,Unnamed: 0,Timestamp,Light,chamber_1_loc,chamber_2_loc,chamber_3_loc,chamber_4_loc,chamber_5_loc,chamber_6_loc,chamber_7_loc,chamber_8_loc,chamber_9_loc,chamber_10_loc,chamber_11_loc,chamber_12_loc,chamber_13_loc,chamber_14_loc,chamber_15_loc,chamber_16_loc,chamber_17_loc,chamber_18_loc,chamber_19_loc,chamber_20_loc,chamber_1_shock,chamber_2_shock,chamber_3_shock,chamber_4_shock,chamber_5_shock,chamber_6_shock,chamber_7_shock,chamber_8_shock,chamber_9_shock,chamber_10_shock,chamber_11_shock,chamber_12_shock,chamber_13_shock,chamber_14_shock,chamber_15_shock,chamber_16_shock,chamber_17_shock,chamber_18_shock,chamber_19_shock,chamber_20_shock,mch_right_status,oct_right_status,moil_right_status,mch_left_status,oct_left_status,moil_left_status
10,10,2024-09-04 12:39:11,light_state,-34.28571428571429,7.142857142857139,62.85714285714286,82.85714285714286,18.57142857142857,-47.14285714285714,84.28571428571428,85.71428571428572,-11.42857142857143,-28.57142857142857,22.96296296296296,-64.44444444444444,57.03703703703704,-24.444444444444443,28.88888888888889,-79.25925925925927,-45.18518518518518,-11.851851851851857,77.77777777777777,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,2024-09-04 12:39:11,light_state,-34.28571428571429,7.142857142857139,62.85714285714286,81.42857142857142,14.285714285714278,-47.14285714285714,84.28571428571428,87.14285714285714,-11.42857142857143,-28.57142857142857,20.0,-68.88888888888889,57.03703703703704,-18.51851851851852,28.88888888888889,-79.25925925925927,-43.7037037037037,-17.037037037037038,74.81481481481481,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,2024-09-04 12:39:11,light_state,-34.28571428571429,11.42857142857143,61.428571428571445,80.0,11.42857142857143,-47.14285714285714,84.28571428571428,94.28571428571428,-11.42857142857143,-28.57142857142857,20.0,-70.37037037037038,57.03703703703704,-19.25925925925926,31.851851851851848,-79.25925925925927,-45.18518518518518,-14.567901234567904,71.85185185185185,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,2024-09-04 12:39:11,light_state,-34.28571428571429,11.42857142857143,59.28571428571429,80.0,7.142857142857139,-48.57142857142858,84.28571428571428,91.42857142857144,-11.42857142857143,-27.142857142857157,18.518518518518505,-71.85185185185185,57.03703703703704,-14.074074074074076,31.851851851851848,-79.25925925925927,-45.18518518518518,-14.074074074074076,71.85185185185185,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,2024-09-04 12:39:11,light_state,-34.28571428571429,11.42857142857143,57.14285714285714,78.57142857142858,2.857142857142847,-47.14285714285714,87.14285714285714,92.85714285714286,-11.42857142857143,-24.28571428571429,17.037037037037024,-74.81481481481481,57.03703703703704,-14.074074074074076,28.88888888888889,-79.25925925925927,-43.7037037037037,-12.592592592592595,68.88888888888889,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,2024-09-04 12:39:11,light_state,-34.28571428571429,11.42857142857143,54.28571428571431,77.14285714285714,2.857142857142847,-47.14285714285714,85.71428571428572,92.85714285714286,-11.42857142857143,-22.857142857142847,15.555555555555545,-74.81481481481481,57.03703703703704,-14.074074074074076,27.40740740740742,-79.25925925925927,-43.7037037037037,-12.592592592592595,68.88888888888889,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,2024-09-04 12:39:11,light_state,-34.28571428571429,11.42857142857143,54.28571428571431,77.14285714285714,2.857142857142847,-45.71428571428572,85.71428571428572,90.0,-11.42857142857143,-21.42857142857143,15.555555555555545,-76.29629629629629,57.03703703703704,-14.074074074074076,27.40740740740742,-79.25925925925927,-42.22222222222223,-9.629629629629632,67.40740740740739,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,2024-09-04 12:39:12,light_state,-34.28571428571429,11.42857142857143,54.28571428571431,74.28571428571428,2.857142857142847,-45.71428571428572,85.71428571428572,92.85714285714286,-11.42857142857143,-21.42857142857143,12.592592592592595,-76.29629629629629,57.03703703703704,-12.592592592592595,28.88888888888889,-79.25925925925927,-40.74074074074075,-9.629629629629632,65.92592592592592,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,2024-09-04 12:39:12,light_state,-34.28571428571429,11.42857142857143,51.428571428571416,71.42857142857142,2.857142857142847,-47.14285714285714,82.85714285714286,94.28571428571428,-11.42857142857143,-20.0,11.111111111111114,-80.74074074074073,57.03703703703704,-9.629629629629632,27.40740740740742,-79.25925925925927,-45.18518518518518,-6.666666666666671,61.481481481481495,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,2024-09-04 12:39:12,light_state,-34.28571428571429,11.42857142857143,50.0,67.14285714285714,-13.57142857142857,-45.71428571428572,81.42857142857142,92.85714285714286,-11.42857142857143,-18.57142857142857,9.629629629629632,-82.22222222222223,57.03703703703704,-6.666666666666671,27.40740740740742,-79.25925925925927,-43.7037037037037,-6.666666666666671,60.0,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,2024-09-04 12:39:12,light_state,-34.28571428571429,11.42857142857143,52.85714285714286,65.71428571428572,-15.0,-47.14285714285714,80.0,90.0,-11.42857142857143,-18.57142857142857,9.629629629629632,-83.7037037037037,57.03703703703704,-5.185185185185176,27.40740740740742,-79.25925925925927,-43.7037037037037,-5.185185185185176,57.03703703703704,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,2024-09-04 12:39:12,light_state,-34.28571428571429,11.42857142857143,53.57142857142857,65.71428571428572,-15.0,-47.14285714285714,80.0,88.57142857142856,-11.42857142857143,-18.57142857142857,9.629629629629632,-83.7037037037037,57.03703703703704,-6.666666666666671,27.40740740740742,-79.25925925925927,-42.22222222222223,-5.185185185185176,57.03703703703704,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,2024-09-04 12:39:12,light_state,-34.28571428571429,11.42857142857143,47.14285714285717,65.71428571428572,4.285714285714292,-47.14285714285714,77.14285714285714,88.57142857142856,-11.42857142857143,-17.14285714285714,8.148148148148152,-85.18518518518519,57.03703703703704,-5.185185185185176,27.40740740740742,-79.25925925925927,-39.25925925925926,-3.7037037037037095,55.55555555555557,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
